Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
570,NAS Whiting Field,443.975000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"N3CMH near Milton, Santa Rosa County, Florida OPEN Available for RACES, ARES & CERT teams",,,,
571,KJ4ARB,443.987500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,12.50,,50W,"KJ4ARB near Tampa, Hillsborough County, Florida OPEN",,,,
572,Memorial HealthCare,444.000000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KD4MOJ near Tallahassee, Leon County, Florida OPEN This machine located at Tallahassee Memorial HealthCare - used for ARES/Hospital Emergency back up power.",,,,
573,K4SRN,444.000000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"K4SRN near Port Saint Lucie, Saint Lucie County, Florida OPEN",,,,
574,KB4JDE,444.000000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KB4JDE near Bunnell, Flagler County, Florida OPEN",,,,
575,Walt Disney World,444.000000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"WD4WDW near Lake Buena Vista, Orange County, Florida OPEN Repeater off line. Old tower decommissioned. New Location expected Sept 2021",,,,
576,ATT Microwave Tower,444.025000,+,5.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"KA4EPS near Margate, Broward County, Florida OPEN",,,,
577,KA4EPS,444.025000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"KA4EPS near Marathon, Monroe County, Florida OPEN",,,,
578,NX4Y,444.025000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"NX4Y near Ocala, Marion County, Florida OPEN",,,,
579,K4OKE,444.050000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4OKE near Okeechobee, Okeechobee County, Florida OPEN",,,,
580,K4AUS,444.050000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4AUS near Groveland, Lake County, Florida OPEN Capable of analog fallback mode using 103.5hz in 25khz wideband mode.",,,,
581,KB2TZ,444.050000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KB2TZ near Fort Lauderdale, Broward County, Florida CLOSED",,,,
582,KK4EQF,444.050000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"KK4EQF near Belleair, Pinellas County, Florida OPEN",,,,
583,K4FLK,444.050000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4FLK near Stock Island, Monroe County, Florida OPEN TS1 TG312443 Keys Cares TG TG3205030 SDGMRS, TS2 TG3121536 Florida Keys TG. Brandmeister Network",,,,
584,WCJB Tower,444.050000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KC4MHH near Gainesville, Alachua County, Florida OPEN",,,,
585,AB4GE,444.075000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"AB4GE near Macclenny, Baker County, Florida OPEN",,,,
586,FDOT Tower,444.075000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4CC near Lake Mary, Seminole County, Florida OPEN Part of a state wide linked system - SARnet",,,,
587,Palm Lake Park,444.075000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"KK4ZVP near Stuart, Martin County, Florida OPEN",,,,
588,W4AC,444.100000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"W4AC near Englewood, Sarasota County, Florida OPEN",,,,
589,KG4EOC,444.100000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KG4EOC near Saint Cloud, Osceola County, Florida OPEN",,,,
590,N1HQ,444.100000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"N1HQ near Panama City, Bay County, Florida OPEN",,,,
591,KF4LZA,444.100000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"KF4LZA near Boca Raton, Palm Beach County, Florida OPEN",,,,
592,Orange Co Convention Ctr,444.125000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4MCO near Orlando, Orange County, Florida OPEN",,,,
593,NX4DN,444.125000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"NX4DN near Greensboro, Gadsden County, Florida OPEN",,,,
594,KA4EPS,444.125000,+,5.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"KA4EPS near West Palm Beach, Palm Beach County, Florida OPEN",,,,
595,K2ELI,444.137500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,12.50,,50W,"K2ELI near North Palm Beach, Palm Beach County, Florida OPEN",,,,
596,KA3COZ,444.150000,+,5.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"KA3COZ near Stuart, Martin County, Florida OPEN SARNET Repeater",,,,
597,Mem Reg Hosp,444.150000,+,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WF2C near Hollywood, Broward County, Florida OPEN Linked to Allstar East Coast Reflector",,,,
598,N4TDX,444.150000,+,5.000000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"N4TDX near Titusville, Brevard County, Florida OPEN ARES team portable repeater",,,,
599,W2KJV,444.150000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W2KJV near Homosassa, Citrus County, Florida OPEN",,,,
600,AG4UU,444.175000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"AG4UU near Panama City, Bay County, Florida OPEN",,,,
601,Dames Point Bridge,444.200000,+,5.000000,TSQL,88.5,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4QHR near Jacksonville, Duval County, Florida OPEN Mixed-Mode Repeater",,,,
602,KA4HLO,444.200000,+,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KA4HLO near Miami, Miami-Dade County, Florida OPEN",,,,
603,KC4ERT,444.200000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"KC4ERT near Navarre, Santa Rosa County, Florida OPEN",,,,
604,W4MIN,444.200000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4MIN near Arcadia, Desoto County, Florida OPEN",,,,
605,KN4GVY,444.200000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"KN4GVY near New Port Richey, Pasco County, Florida OPEN",,,,
606,KE4YUW,444.225000,+,5.000000,TSQL,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"KE4YUW near Hialeah, Miami-Dade County, Florida OPEN",,,,
607,NX4Y,444.225000,+,5.000000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"NX4Y near Fort Myers, Lee County, Florida OPEN Located on the FDOT tower near I-75 exit 143",,,,
608,Regions Bldg,444.225000,+,5.000000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4BCI near Tampa, Hillsborough County, Florida OPEN 100 W at 600 FT",,,,
609,I-95/PGA Blvd,444.225000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4JUP near Palm Beach Gardens, Palm Beach County, Florida OPEN",,,,
610,W4RNT,444.250000,+,5.000000,TSQL,88.5,146.2,023,NN,023,Tone->Tone,FM,5.00,,50W,"W4RNT near Tampa, Hillsborough County, Florida OPEN",,,,
611,WA1UTQ,444.250000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA1UTQ near The Villages, Sumter County, Florida OPEN",,,,
612,KV4ATV,444.250000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"KV4ATV near Panama City, Bay County, Florida OPEN Current custodians for KV4ATV 444.25000 Panama City repeater (12-17840): KV4ATV -- RRC. <b> This repeater is not listed in the FASMA online database. <b>",,,,
613,K4MPX,444.275000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4MPX near Bradenton, Manatee County, Florida CLOSED",,,,
614,K4PCS,444.275000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4PCS near Miami, Miami-Dade County, Florida OPEN",,,,
615,SJRPP,444.275000,+,5.000000,DTCS,88.5,88.5,411,NN,023,Tone->Tone,FM,5.00,,50W,"WJ4JEA near Jacksonville, Duval County, Florida OPEN DMR is not Networked. Use TG9",,,,
616,Polk Correctional,444.275000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"W4VCO near Polk City, Polk County, Florida OPEN TS, TG, Talkgroup Name, Full-Time/PTT ================================ 1, 1, World Wide Calling, PTT 1, 3, North America Calling, PTT 1, 13, WW English Calling, PTT 1, 3172, Northeast Regional, FT 1, 3112, Florida Statewide, FT 2, 2, Local 2, FT 2, 3173, MidAtlantic Regional, PTT 2, 3174, Southeast Regional, PTT 2, 3175, Southern Plains Regional, PTT 2, 31121, First Coast (NE FL), PTT 2, 310, TAC310, PTT 2, 311, TAC311, PTT 2, 312, TAC312, PTT 2, 313, TAC313, PTT 2, 314, TAC314, PTT 2, 315, TAC315, PTT 2, 316, TAC316, PTT 2, 317, TAC317, PTT 2, 318, TAC318, PTT 2, 319, TAC319, PTT 2, 9998, DMRX Parrot, PTT 2, 9999, NorCal Audio Test, PTT",,,,
617,K4NRD,444.300000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"K4NRD near Madison, Madison County, Florida OPEN",,,,
